06-26 03:47:43.361 27688-27754/nl.tudelft.cs4160.trustchain_android I/Statistics-lg: runtime,messagesSent,messagesReceived,introductionRequestsSent,introductionRequestsReceived,introductionResponsesSent,introductionResponsesReceived,puncturesSent,puncturesReceived,punctureRequestsSent,punctureRequestsReceived,blockMessagesSent,blockMessagesReceived,bytesSentCount,bytesReceivedCount,activeConnections,newConnections
06-26 16:06:10.568 11275-11865/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_0: 100001,557,563,184,186,186,184,1,2,186,191,0,0,324674,323005,11,0
06-26 16:06:10.579 11275-11866/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_1: 100001,560,555,189,185,185,189,1,1,185,180,0,0,324665,325223,11,0
06-26 16:06:10.587 11275-11867/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_2: 100000,557,551,184,186,186,184,1,1,186,180,0,0,323261,322059,11,0
06-26 16:06:10.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 100000,564,564,185,189,189,184,1,0,189,191,0,0,327576,324577,11,0
06-26 16:06:10.606 11275-11869/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_4: 100001,580,568,183,195,195,183,7,1,195,189,0,0,338128,322933,11,0
06-26 16:06:10.624 11275-11829/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_5: 100001,544,555,186,179,179,186,0,1,179,189,0,0,312327,325949,11,0
06-26 16:06:10.636 11275-11871/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_6: 100000,560,548,190,185,185,190,0,3,185,170,0,0,325237,324226,11,0
06-26 16:06:10.645 11275-11872/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_7: 100000,564,555,188,188,188,188,0,1,188,178,0,0,329906,323636,11,0
06-26 16:06:10.651 11275-11844/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_8: 100001,557,550,191,183,183,191,0,2,183,174,0,0,322690,325715,11,0
06-26 16:06:10.657 11275-11874/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_9: 100001,555,558,191,182,182,191,0,3,182,182,0,0,321994,327491,11,0
06-26 16:06:20.568 11275-11865/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_0: 110001,613,615,204,204,204,204,1,2,204,205,0,0,356754,356608,11,0
06-26 16:06:20.579 11275-11866/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_1: 110001,620,618,209,205,205,209,1,1,205,203,0,0,360009,361285,11,0
06-26 16:06:20.587 11275-11867/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_2: 110000,621,610,204,208,208,204,1,1,208,197,0,0,361959,356819,11,0
06-26 16:06:20.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 110000,626,622,205,210,210,204,1,0,210,208,0,0,364627,359161,11,0
06-26 16:06:20.606 11275-11869/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_4: 110001,642,634,203,216,216,203,7,1,216,214,0,0,375109,359505,11,0
06-26 16:06:20.624 11275-11829/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_5: 110000,604,616,206,199,199,206,0,1,199,210,0,0,347671,361470,11,0
06-26 16:06:20.636 11275-11871/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_6: 110000,614,606,210,202,202,210,0,3,202,191,0,0,355656,359329,11,0
06-26 16:06:20.645 11275-11872/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_7: 110000,624,615,208,208,208,208,0,1,208,198,0,0,365246,358861,11,0
06-26 16:06:20.651 11275-11844/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_8: 110001,613,605,211,201,201,211,0,2,201,191,0,0,354742,360010,11,0
06-26 16:06:20.657 11275-11874/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_9: 110001,615,617,211,202,202,211,0,3,202,201,0,0,357376,362550,11,0
06-26 16:06:30.568 11275-11865/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_0: 120001,673,676,224,224,224,224,1,2,224,226,0,0,392086,392050,11,0
06-26 16:06:30.579 11275-11866/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_1: 120001,682,686,229,226,226,229,1,1,226,230,0,0,397020,398334,11,0
06-26 16:06:30.586 11275-11867/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_2: 120000,679,666,224,227,227,224,1,1,227,214,0,0,395698,391225,11,0
06-26 16:06:30.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 120000,684,683,225,229,229,224,1,0,229,230,0,0,398358,394841,11,0
06-26 16:06:30.606 11275-11869/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_4: 120001,702,694,223,236,236,223,7,1,236,234,0,0,410489,394731,11,0
06-26 16:06:30.623 11275-11829/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_5: 120000,666,675,226,220,220,226,0,1,220,228,0,0,384704,396454,11,0
06-26 16:06:30.636 11275-11871/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_6: 120000,672,666,230,221,221,230,0,3,221,212,0,0,389409,394758,11,0
06-26 16:06:30.645 11275-11872/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_7: 120000,684,673,228,228,228,228,0,1,228,216,0,0,400666,393667,11,0
06-26 16:06:30.651 11275-11844/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_8: 120001,673,663,231,221,221,231,0,2,221,209,0,0,390108,394785,11,0
06-26 16:06:30.657 11275-11874/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_9: 120001,673,674,231,221,221,231,0,3,221,219,0,0,391121,397239,11,0
06-26 16:06:40.568 11275-11865/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_0: 130001,735,739,244,245,245,244,1,2,245,248,0,0,429153,427977,11,0
06-26 16:06:40.579 11275-11866/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_1: 130001,742,749,249,246,246,249,1,1,246,253,0,0,432376,434339,11,0
06-26 16:06:40.586 11275-11867/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_2: 130000,741,720,244,248,248,244,1,1,248,227,0,0,432739,424856,11,0
06-26 16:06:40.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 130000,744,744,245,249,249,244,1,0,249,251,0,0,433746,430417,11,0
