06-27 13:26:12.243 30478-30853/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_0-header: runtime,messagesSent,messagesReceived,introductionRequestsSent,introductionRequestsReceived,introductionResponsesSent,introductionResponsesReceived,puncturesSent,puncturesReceived,punctureRequestsSent,punctureRequestsReceived,blockMessagesSent,blockMessagesReceived,bytesSentCount,bytesReceivedCount,activeConnections,newConnections
06-27 13:26:52.567 30478-31014/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_24: 40000,94,56,69,11,11,25,3,13,11,7,0,0,19716,39638,9,0
06-27 13:26:52.569 30478-31013/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_23: 40002,84,39,71,6,6,18,1,13,6,2,0,0,16122,24023,13,0
06-27 13:27:02.244 30478-30855/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_0: 50001,228,132,87,57,57,24,27,1,57,50,0,0,102983,52235,12,0
06-27 13:27:02.378 30478-30860/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_1: 50012,274,177,80,81,81,36,32,10,81,50,0,0,134402,74156,11,0
06-27 13:27:02.382 30478-30865/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_2: 50001,170,104,91,36,36,38,7,19,36,11,0,0,68959,68437,13,0
06-27 13:27:02.398 30478-30870/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 50004,183,132,55,56,56,34,16,13,56,29,0,0,67938,60615,7,0
06-27 13:27:02.420 30478-30875/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_4: 50012,131,68,81,22,22,26,6,10,22,10,0,0,44300,39706,11,0
06-27 13:27:02.420 30478-30880/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_5: 50001,145,65,90,25,25,22,5,9,25,9,0,0,45091,37942,9,0
06-27 13:27:02.438 30478-30885/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_6: 50011,273,181,62,88,88,31,35,2,88,60,0,0,128756,70919,8,3
06-27 13:27:02.441 30478-30890/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_7: 50003,158,90,91,32,32,35,3,16,32,7,0,0,61235,54322,13,0
06-27 13:27:02.447 30478-30895/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_8: 50000,335,220,75,105,105,38,50,2,105,75,0,0,163732,85800,10,0
06-27 13:27:02.456 30478-30900/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_9: 50001,342,226,78,104,104,36,56,1,104,85,0,0,152232,85749,8,0
06-27 13:27:02.470 30478-30905/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_10: 50007,209,127,91,52,52,36,14,18,52,21,0,0,93966,65634,13,0
06-27 13:27:02.471 30478-30910/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_11: 50000,240,154,91,64,64,38,21,10,64,42,0,0,117566,72223,13,0
06-27 13:27:02.481 30478-30915/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_12: 50001,138,121,57,29,29,47,23,18,29,27,0,0,35837,80859,4,0
06-27 13:27:02.488 30478-30920/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_13: 50001,173,101,91,35,35,31,12,16,35,19,0,0,61864,54257,10,0
06-27 13:27:02.495 30478-30925/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_14: 50001,287,175,89,85,85,36,28,6,85,48,0,0,141003,73910,11,0
06-27 13:27:02.506 30478-30930/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_15: 50006,314,202,79,99,99,41,37,5,99,57,0,0,163115,83825,11,0
